"id","name","grade","kind","mechanic","maximumStacks","price","primaryValue","secondaryValue","duration","description","effects"
"item_assassin_sword","암살자의 검","Epic","Equipment","None","2","125","0","0","0","장착 시 치명타 확률 20% 증가","CriticalChancePercent:20"
"item_balance_talisman","균형의 부적","Rare","Equipment","None","3","85","0","0","0","최대 HP·일반 공격·스킬 피해 8% 증가","MaxHPPercent:8;AttackDamagePercent:8;SkillDamagePercent:8"
"item_barrier_stone","수호 결계석","Epic","Consumable","BarrierStone","2","130","30","0","8","사용 시 최대 HP의 30% 보호막을 8초간 획득",""
"item_blood_potion","피의 물약","Rare","Consumable","BloodPotion","3","75","25","25","6","최대 HP의 25%를 회복하고 6초간 일반 공격 피해 25% 증가",""
"item_blood_tome","혈투의 서","Epic","Consumable","BloodTome","2","140","20","200","10","현재 HP 20%를 소모하고 10초간 스킬 피해 200% 증가",""
"item_burst_core","버스트 코어","Rare","Consumable","BurstCore","3","70","0","0","0","사용 시 남은 스킬 쿨타임 즉시 초기화",""
"item_chrono_gear","시간의 톱니","Epic","Equipment","None","2","125","0","0","0","장착 시 일반 공격과 스킬 쿨타임 12% 감소","AttackCooldownPercent:12;SkillCooldownPercent:12"
"item_desperate_stand","배수의 진","Epic","Consumable","LastStand","2","130","0","0","5","사용 시 5초간 일반 공격 쿨타임 제거",""
"item_echo_crystal","메아리 수정","Unique","Consumable","EchoCrystal","1","200","50","0","0","다음 스킬이 총 피해의 50%로 한 번 더 울려 퍼짐",""
"item_emergency_accelerator","비상용 가속 장치","Unique","Consumable","EmergencyAccelerator","1","210","0","0","3","사용 시 3초간 스킬 쿨타임 제거",""
"item_executioner_mark","처형자의 표식","Epic","Equipment","ExecutionerMark","2","135","50","0","0","체력 40% 이하인 적에게 주는 피해 50% 증가",""
"item_frost_witch_tear","서리 마녀의 눈물","Rare","Consumable","FrostWitchTear","3","70","50","0","5","사용 시 5초간 적 공격속도 50% 둔화",""
"item_giant_roar","거인의 외침","Rare","Consumable","GiantRoar","3","75","0","0","3","사용 시 적의 행동을 3초간 봉쇄",""
"item_greater_healing_potion","고급 회복약","Rare","Consumable","GreaterHealingPotion","5","65","40","0","0","사용 시 최대 HP의 40% 즉시 회복",""
"item_guardian_brooch","수호자의 브로치","Rare","Equipment","GuardianBrooch","3","80","0","0","0","장착 시 받는 피해 12% 감소","DamageReductionPercent:12"
"item_hardened_armor","단단한 갑옷","Rare","Equipment","None","3","80","0","0","0","장착 시 최대 HP 20% 증가","MaxHPPercent:20"
"item_hardened_claw","단단한 발톱","Common","Equipment","None","3","35","0","0","0","장착 시 일반 공격 피해 10% 증가","AttackDamagePercent:10"
"item_healing_potion","회복약","Common","Consumable","HealingPotion","9","30","20","0","0","사용 시 최대 HP의 20% 즉시 회복",""
"item_hero_sword","용사의 검","Common","Equipment","None","3","35","0","0","0","장착 시 스킬 피해 10% 증가","SkillDamagePercent:10"
"item_inferno_breath","업화의 숨결","Rare","Consumable","InfernoBreath","3","75","30","0","5","사용 시 5초간 매초 공격력의 30% 화상 피해",""
"item_infighting_glove","인파이팅 장갑","Rare","Equipment","InfightingGlove","3","75","10","0","0","일반 공격마다 해당 피해의 10% 추가 공격",""
"item_light_purification_rod","빛의 정화봉","Unique","Consumable","PurificationRod","1","220","0","0","0","사용 시 HP를 100% 회복",""
"item_mana_prism","마력 프리즘","Rare","Equipment","None","3","70","0","0","0","장착 시 스킬 피해 15% 증가","SkillDamagePercent:15"
"item_meteor_fragment","운석 파편","Epic","Equipment","MeteorFragment","3","130","30","0","0","전투 중 10초마다 스킬 피해의 30% 화염 추가 공격",""
"item_phoenix_feather","불사조의 깃털","Unique","Equipment","PhoenixFeather","1","220","25","0","0","전투당 1회 쓰러질 때 최대 HP의 25%로 부활",""
"item_poison_fang","독니","Rare","Equipment","PoisonFang","3","80","35","0","0","전투 중 10초마다 공격력의 35% 지속 피해",""
"item_stun_gun","전기충격기","Epic","Consumable","StunGun","2","135","0","0","5","사용 시 적의 행동을 5초간 봉쇄",""
"item_time_shard","시공의 파편","Epic","Consumable","TimeShard","2","120","0","0","1","사용 시 1초간 모든 피해에 무적",""
"item_weakness_lens","약점 분석 렌즈","Epic","Consumable","WeaknessLens","2","125","100","0","5","사용 시 5초간 치명타 확률 100% 증가",""
"item_yata_mirror","야타의 거울","Rare","Equipment","None","3","75","0","0","0","장착 시 회피 쿨타임 20% 감소","DodgeCooldownPercent:20"
